ID,Amount,PaymentDate,Notes,MixedChaos,MostlyNumbers,MostlyDates,AllEmpty
1,100.00,2024-01-01,OK,123,10,2024-01-01,
2,250.50,01/15/2024,OK,abc,20,2024-01-02,
3,300,2024/02/01,OK,2024-02-01,30,2024-01-03,
4,xxx,02/20/2024,OK,,40,2024-01-04,
5,450.75,,OK,!,50,2024-01-05,
6,500.00,2024-03-01,OK,3.14,60,not-a-date,
7,600.00,2024-03-02,OK,hello,70,2024-03-02,
8,700.00,2024-03-03,OK,999,80,2024-03-03,
9,800.00,2024-03-04,OK,2024-03-04,90,2024-03-04,
10,900.00,2024-03-05,OK,foo,100,2024-03-05,
11,1000.00,2024-03-06,OK,bar,110,2024-03-06,
12,1100.00,2024-03-07,OK,baz,120,2024-03-07,
13,1200.00,2024-03-08,OK,42,130,2024-03-08,
14,1300.00,2024-03-09,OK,2024-03-09,140,2024-03-09,
15,1400.00,2024-03-10,OK,???,150,2024-03-10,